run,tag,step,value
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,147,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,148,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,149,58.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,150,41.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,151,68.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,152,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,153,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,154,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,155,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,156,41.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,157,50.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,158,51.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,159,70.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,160,60.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,161,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,162,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,163,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,164,49.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,165,41.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,166,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,167,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,168,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,169,54.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,170,52.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,171,58.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,172,49.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,173,41.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,174,75.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,175,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,176,43.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,177,49.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,178,51.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,179,51.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,180,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,181,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,182,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,183,53.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,184,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,185,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,186,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,187,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,188,67.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,189,50.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,190,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,191,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,192,51.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,193,43.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,194,60.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,195,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,196,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,197,51.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,198,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,199,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,200,41.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,201,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,202,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,203,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,204,52.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,205,81.0
